gene	HM_MG10	HM_MG11	HM_MG12	HM_MG13	HM_MG14	HM_MG15	HM_MG16	HM_MG17	HM_MG18	HM_MG19	HM_MG20	HM_MG21	HM_MG22	HM_MG23	HM_MG24	HM_MG3	HM_MG4	HM_MG5	HM_MG6	HM_MG7	HM_MG8	HM_MG9
HM_MG12_32415	0.0	0.00969569157541	0.00534006099302	0.0	0.0	0.0	0.0136544176849	0.00384113954611	7.70764515073e-05	0.0	0.0	0.000841251258183	0.0	0.0	0.0	0.0	0.0	0.0	0.0142614909548	0.00281053557555	0.0	0.0
HM_MG12_344548	0.0	0.00143771967714	0.00157341139473	0.00267492416582	0.0	0.0	0.00150746838591	0.000982617093192	0.00084784096658	0.0	0.0	0.00165245961323	0.00170716846691	0.0	0.0	0.00131232035648	0.0	0.0	0.000210855604744	0.00168452132521	0.00127379322837	0.0
HM_MG12_407908	0.0	0.00470527620387	0.00386610084239	0.0	0.0	0.0	0.00740030311642	0.00484291179607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0256641343754	0.00297268720958	0.0	0.0
HM_MG12_445828	0.0	0.00291048041715	0.00288080985676	0.00223370167076	0.0	0.0	0.00244133631714	0.00264395286027	0.00196664446169	0.0	0.0	0.00257579078118	0.00272930187438	0.0	0.0	0.00194818613195	0.0	0.0	0.00078255542803	0.00132391800812	0.00236374308426	7.93152872858e-05
HM_MG12_485167	0.0	0.0015803937179	0.00161424862131	0.0	0.0	0.0	0.00128045964763	0.00135016263312	0.000116497382331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00579448361298	0.00315876776744	0.0	0.0
HM_MG12_538037	0.0	0.00818307063829	0.00453142771693	0.000488465982955	0.0	0.0	0.0144145176186	0.00684414812614	0.000729882176271	0.0	0.0	0.00455215836326	0.00172658164655	0.0	0.0	0.0	0.0	0.0	0.0256107103168	0.0052112401732	0.0	0.0
HM_MG12_569959	0.0	0.00161678707444	0.000765219932844	0.0	0.0	0.0	0.00147788789429	0.000857084489629	0.0	0.0	0.0	0.00193927528679	0.000249914053281	0.0	0.0	0.0	0.0	0.0	0.000267517443661	3.14292930266e-05	0.0	0.0
HM_MG12_637440	0.0	0.000430051974377	0.000649666260349	2.15719822813e-05	0.0	0.0	0.000344815643649	0.000451687617067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00114270098923	0.00101646558237	0.0	0.0
HM_MG12_646357	0.0	0.000276155589998	0.000443255196415	0.000362292358804	0.0	0.0	0.00020045970683	0.00033936994922	0.000223922085711	0.0	0.0	0.000429713098663	0.000256119803486	0.0	0.0	0.000255947015437	0.0	0.0	0.000205619773733	0.000193258164836	0.000379549826548	0.0
HM_MG12_73924	0.0	0.00195167032266	0.000728873351127	0.0	0.0	0.0	0.00218818082789	0.000799008813495	1.56685414993e-05	0.0	0.0	0.000244306232733	0.0	0.0	0.0	0.0	0.0	0.0	0.00208863930335	0.000380893674674	0.0	0.0
HM_MG13_207949	0.0	0.0003528950095	0.000566428464616	0.00300929269584	0.0	0.0	0.0	0.000994900801757	0.00162149670702	0.0	0.0	0.000446164059879	0.00106369701371	0.000229639172417	0.0	0.00425191761484	9.070223062e-05	0.0	0.0	0.0007134436461	0.0071650811775	0.0
